,español,ingles
10, pero nos prepararon para el exito. Mi deseo es ser para ti como uno de esos maestros alentadores. Quiero prepararte para que pongas tu sueño a prueba,but they prepared us for success. My desire is to be for you as one of those encouraging teachers. I want to prepare you to put your dream to the test
11, para que real- mente puedas lograrlo.  Como? Creo que si conoces las preguntas que debes hacerte,so you can really achieve it. As? I think if you know the questions you should ask yourself
12, y puedes responder a ellas afirmativamente,and you can answer them affirmatively
13, tendras una probabilidad excelente de lograr tus sueños. Cuanto mayor sea la cantidad de preguntas que puedas responder de modo positivo,You will have an excellent chance of achieving your dreams. The greater the number of questions you can answer positively
14, !-tanto mayor seran las probabilidades de exito! Por esa razon escribi este libro.  LA IMAGEN CORRECTA Y LA INCORRECTA DE UN SUEÑO  He estudiado a personas de exito por casi cuarenta años. He conocido a cientos de ellas con un perfil sobresaliente que han logrado sueños grandes,-The greater the probabilities of success! For that reason I wrote this book. THE CORRECT IMAGE AND THE INCORRECT IMAGE OF A DREAM I have studied successful people for almost forty years. I have met hundreds of them with an outstanding profile who have achieved great dreams
15, y yo he logrado los mios. Lo que he descubierto es que muchos individuos sostienen conceptos equivocados en cuanto a los  viii  Introduccion  sueños. Considera algunas de las muchas cosas que las personas per- siguen y que describen como los sueños de sus vidas:  S* Sueños despiertos   Distracciones del trabajo actual <\xa3> Sueños de opio   Ideas alocadas sin estrategia ni fundamen- to alguno en la realidad <*> Malos sueños   Afanes que generan temor y paralisis Sueños idealistas   Como seria el mundo si estuviera a tu cargo  Sueños vicarios   Sueños vividos a traves de otros <$ Sueños romanticos   La creencia de que alguna persona te hara feliz <$> Sueños de carrera   La creencia de que el exito profesional te hara feliz  Sueños de destino   La creencia de que una posicion,and I have achieved mine. What I have discovered is that many individuals hold misconceptions about the viii Introduction dreams. Consider some of the many things that people follow and describe as the dreams of their lives: S * Awake dreams Distractions of current work <\ xa3> Opium dreams Crazy ideas without strategy or foundation in reality < *> Bad dreams Worries that generate fear and paralysis Idealistic dreams How would the world be if you were in charge Vicarious dreams Dreams lived through other <$ Romantic dreams The belief that someone will make you happy <$> Dreams of career The belief that professional success will make you happy Destiny dreams The belief that a position
16, titulo o premio te hara feliz  Sueños materiales   La creencia de que las riquezas o pose- siones te haran feliz <$> Sueños de temporada   Un objetivo a corto plazo que tratas de lograr  Si estos no son buenos sueños,title or prize will make you happy Material dreams The belief that riches or possessions will make you happy <$> Seasonal dreams A short-term goal you try to achieve If these are not good dreams
17, es decir,that is to say
18, los que valen la pena invertir la vida en ellos,those that are worth investing life in them
19, entonces,so
20,  cuales si lo son? Esta es mi defini- cion de un sueño que puede ser puesto a prueba y pasarla: un sueño es un cuadro inspirador del futuro que infunde energia a tu mente,what if they are? This is my definition of a dream that can be put to the test and pass: a dream is an inspiring picture of the future that infuses energy into your mind
21, voluntad y emociones,will and emotions
22, facultandote para hacer todo lo que puedas para lograrlo. Un sueño genuino es un cuadro y un esquema del proposito y potencial de un individuo. O,empowering you to do everything you can to achieve it. A genuine dream is a picture and an outline of the purpose and potential of an individual. OR
23, como lo diria mi amiga Sharon  ix   Cual es tu sueño?   QUE TIENES EN MENTE?  Los sueños son bienes valiosos. Nos impulsan hacia delante. Nos dan energia. Nos brindan entusiasmo. Todos debieran tener un sueño. Pero,as my friend Sharon would say ix What is your dream? WHAT DO YOU HAVE IN MIND? Dreams are valuable assets. They push us forward. They give us energy. They give us enthusiasm. Everyone should have a dream. But
24,  que pasa si no estas seguro de tener uno que te gustaria seguir? Reconozcamoslo. A muchos no se les alento a que soñaran. Otros tienen sueños,What happens if you are not sure of having one that you would like to follow? Let's recognize it Many are not encouraged to dream. Others have dreams
25, mas han perdido las esperanzas y los han colocado a un lado. Quiero que sepas que hay buenas noticias,but they have lost hope and placed them aside. I want you to know that there is good news
26, puedes hallar o recap- turar tus sueños. Y pueden ser grandes,You can find or recapture your dreams. And they can be great
27, lo cual no significa que los unicos que valgan la pena seguirse sean aquellos que son enormes. Solo tienen que ser mas grandes que tu. La actriz Josie Bisset afirmo: Los sueños vienen en tallas grandes para que podamos crecer en ellos.  Los sueños vienen en tallas grandes para que podamos crecer en. ellos.  -JOSIE BISSET  Si has perdido las esperanzas,which does not mean that the only ones that are worth following are those that are huge. They just have to be bigger than you. Actress Josie Bisset said: Dreams come in large sizes so we can grow in them. Dreams come in large sizes so we can grow on. they. -JOSIE BISSET If you've lost hope
28, has perdido de vista tu sueño,you have lost sight of your dream
29, o nunca te conectaste con algo que piensas que vale la pena soñar y trabajar por lograr,or you never connect with something that you think is worth dreaming about and work to achieve
30, tal vez te ayudaria conocer las cinco razones mas comunes por las cuales las personas tienen problemas para identifi- car su sueño:  Introduccion  1. ALGUNOS HAN SIDO DESALENTADOS DE SOÑAR POR  OTROS INDIVIDUOS  !-A muchas personas les han arrancado el sueño de las manos! El mundo esta lleno de derribadores de sueños y de asesinos de ideas. Algunos que no persiguen ningun sueño propio se molestan al ver a otros persiguiendo los suyos. El exito de los demas les hace sentirse incapaces o inseguros. Los profesores de negocios Gary Hamel y C. K. Prahalad escri- bieron acerca de un experimento llevado a cabo con un grupo de monos. Cuatro monos fueron colocados en una sala que tenia un poste elevado en medio. Suspendido de la cima del poste habia un monton de platanos. Uno de los monos hambrientos empezo a trepar el poste para buscar algo de comer,perhaps it would help you to know the five most common reasons why people have trouble identifying their dream: Introduction 1. SOME HAVE BEEN DISCOURAGED FROM DREAMING BY OTHER INDIVIDUALS! - Many people have had their hands wrenched off! The world is full of destroyers of dreams and ideas killers. Some who do not pursue any dream of their own bother to see others chasing theirs. The success of others makes them feel incapable or insecure. Business teachers Gary Hamel and C. K. Prahalad wrote about an experiment carried out with a group of monkeys. Four monkeys were placed in a room that had a raised pole in the middle. Suspended from the top of the post there were a lot of bananas. One of the hungry monkeys started climbing the post to look for something to eat
31, pero cuando estiraba la mano para tomar un platano,but when I reached out to take a banana
32, fue bañado por un chorro de agua fria. Chillando,It was bathed in a jet of cold water. Shrieking
33, bajo a toda velocidad por el poste y abandono el intento de alimentarse. Cada uno de los monos hizo un intento similar,I go down at full speed through the post and abandon the attempt to feed myself. Each of the monkeys made a similar attempt
34, y cada uno fue bañado con agua fria. Luego de varios intentos,and each one was bathed in cold water. After several attempts
35, se dieron por vencidos.  Los investigadores entonces sacaron a uno de los monos de la sala y lo reemplazaron por un mono nuevo. Cuando este nuevo miembro del grupo empezo a trepar el poste,They gave up. The researchers then removed one of the monkeys from the room and replaced it with a new monkey. When this new member of the group started to climb the pole
36, los otros tres le sujetaron y le dieron de tirones para bajarlo al suelo. Luego de intentar trepar el poste varias veces y de ser arrastrado por los demas,the other three held him and yanked him down to the ground. After trying to climb the post several times and being dragged by others
37, finalmente se dio por vencido y no volvio a intentar trepar el poste.  Los investigadores reemplazaron a los monos originales uno por uno con monos nuevos,finally gave up and did not try to climb the post again. Researchers replaced the original monkeys one by one with new monkeys
38, y cada vez que llegaba un mono nuevo,and every time a new monkey arrived
39, seria arrastrado por los demas antes de que pudiera alcanzar los platanos. Luego de cierto tiempo,he would be dragged by the others before he could reach the platanos. After a certain time
40, en la habitacion solo quedaban monos que  xi  Hull: Un sueño es una semilla de posibilidad plantada en el alma de un ser humano que lo llama a seguir un camino unico hacia el cumplimiento del proposito de su vida.   Cual es tu sueño?  2. ALGUNAS PERSONAS SON ESTORBADAS POR LAS  DESILUSIONES Y LOS DOLORES DEL PASADO  La desilusion es la separacion que existe entre las expectativas y la realidad. Todos hemos encontrado esa separacion. Hemos sufrido experiencias inesperadamente malas. Hemos tenido que vivir con nuestros deseos no cumplidos y hemos visto nuestras esperanzas derribarse. Las desilusiones pueden sernos sumamente dañinas. El novelista Mark Twain observo: Debemos procurar sacarle a toda experiencia solo la sabiduria que contiene,in the room there were only monkeys left xi Hull: A dream is a seed of possibility planted in the soul of a human being that calls him to follow a unique path towards the fulfillment of the purpose of his life. What is your dream? 2. SOME PEOPLE ARE SCORBED BY THE DISILLUSIONS AND PAINS OF THE PAST Desilusion is the separation between expectations and reality. We have all found that separation. We have suffered unexpectedly bad experiences. We have had to live with our unfulfilled desires and we have seen our hopes come down. Disillusions can be extremely harmful to us. The novelist Mark Twain observed: We must try to extract to all experience only the wisdom that contains
41, y detenernos alli,and stop there
42, no sea que seamos como el gato que se sienta sobre la tapa de una estufa caliente. Nunca mas volvera a sentarse sobre la tapa de una estufa caliente,lest we be like the cat sitting on the top of a hot stove. Never again will you sit on the top of a hot stove
43, y eso esta bien,and that's fine
44, pero tampoco se sentara sobre una fria.  La desilusion es La separacion que existe entre las expectativas y la realidad. .  Xll  Introduccion   No has descubierto que eso es cierto? Cuando algo sale mal,but do not sit on a cold one either. Disillusion is The separation that exists between expectations and reality. . Xll Introduction You have not discovered that this is true? When something goes wrong
45, decimos: !-Nunca mas volvere a hacer eso! !-Que error,we say:! -I'll never do that again! !-That mistake
46, especial- mente cuando se trata de nuestros sueños! El fracaso es el precio que hay que pagar para lograr el exito. Algunos tendran que enfrentar el fracaso en repetidas ocasiones antes de avanzar en la busqueda de sus sueños. La primera ministra de Gran Bretaña,Especially when it comes to our dreams! Failure is the price that must be paid to achieve success. Some will have to face failure repeatedly before moving forward in the pursuit of their dreams. The Prime Minister of Great Britain
47, Margaret Thatcher,Margaret Thatcher
48, afirmo: Podria ser necesario pelear una batalla mas de una vez para poder ganarla. Necesitamos recordar eso y asegurarnos de que no abandonemos la lucha prematuramente.  3. ALGUNAS PERSONAS SE ACOSTUMBRAN A  CONFORMARSE CON EL PROMEDIO  La columnista Maureen Dowd dice: El instante en el cual te con- formas con recibir menos de lo que mereces,I affirm: It might be necessary to fight a battle more than once in order to win it. We need to remember that and make sure that we do not abandon the fight prematurely. 3. SOME PEOPLE ARE ACCUSTOMED TO CONFORM TO THE AVERAGE Columnist Maureen Dowd says: The moment in which you get to receive less than you deserve.
49, recibes menos aun de aquello con lo que te habias conformado. Los sueños exigen a una persona a extralimitarse,you receive even less of what you have been conformed to. Dreams require a person to overreach
50, a ir mas alla del promedio. No puedes buscar un sueño y permanecer en la seguridad de lo mediocre al mismo tiempo. Esas dos cosas son incompatibles.  Cuando estamos muy faltos de inspiracion para soñar,to go beyond the average. You can not look for a dream and remain in the safety of the mediocre at the same time. Those two things are incompatible. When we are too lacking in inspiration to dream
51, cuando nos conformamos con el promedio,when we settle for the average
52, podemos sentirnos tentados a culpar de ello a los demas,we may be tempted to blame it on others
53, a nuestras circunstancias,to our circumstances
54, o al sistema que nos rodea. La verdad es que la mediocridad siempre es una decision personal. D. Bruce Lockerbie,or the system that surrounds us. The truth is that mediocrity is always a personal decision. D. Bruce Lockerbie
55, director y presidente de la junta ejecutiva de PAIDEIA,director and president of PAIDEIA's executive board
56, Inc.,Inc.
57, y antiguo erudito residente de la Fundacion Thomas F. Stanley en la Stony Brook School de Nueva York,and former resident scholar of the Thomas F. Stanley Foundation at the Stony Brook School in New York
58, escribe:  xiii  no habian recibido el chorro de agua fria,write: xiii had not received the cold water jet
59, pero ninguno de ellos intento trepar el poste. Se impedian unos a otros treparlo,but none of them tried to climb the pole. They prevented one another from climbing it
60, aunque ninguno de ellos sabia por que lo hacian. 1 Tal vez hay otros que te han arrastrado en la vida. Te han des- alentado de soñar. Tal vez sentian resentimiento porque deseabas superarte o hacer algo significativo con tu vida,although none of them knew why they did it. 1 Maybe there are others who have dragged you into life. You have been discouraged from dreaming. Maybe they felt resentment because you wanted to improve yourself or do something meaningful with your life
61, o tal vez buscaban protegerte del dolor o del desencanto. De igual modo,Or maybe they were looking to protect you from pain or disenchantment. In the same way
62, te han des- alentado de soñar. No desmayes. Nunca es demasiado tarde para empezar a soñar y perseguir tus sueños.   Cual es tu sueño?  La mediocridad en su raiz no es un problema nacional,You have been discouraged from dreaming. Do not faint It's never too late to start dreaming and chasing your dreams. What is your dream? Mediocrity at its root is not a national problem
63, corporativo o institucional; ni es un problema departamental; la mediocridad es un problema personal. La educacion en Estados Unidos no es un monolito; esta compuesta de millones de estudiantes que aprenden de millones de maestros,corporate or institutional; nor is it a departmental problem; Mediocrity is a personal problem. Education in the United States is not a monolith; is composed of millions of students who learn from millions of teachers
64, auxiliados por millones de asistentes,aided by millions of attendees
65, equi- pados por millones de fabricantes,Equipped by millions of manufacturers
66, editores y proveedores,publishers and suppliers
67, !-todo pagado con miles de millones de dolares! Cada una de estas facetas de la educacion en Estados Unidos esta poblada de individuos. Por lo tanto,! -all paid with billions of dollars! Each of these facets of education in the United States is populated by individuals. Thus
68, la educacion en Estados Unidos no es mediocre,education in the United States is not mediocre
69, sino que aquellos de nosotros que tomamos decisiones y aportamos fondos para la educacion posiblemente hemos sido negligentes en nuestro compromiso con nuestras obligaciones. Las escuelas no son medio- cres,but those of us who make decisions and contribute funds for education have possibly been negligent in our commitment to our obligations. Schools are not mediocre
70, pero algunos de los que son administradores o maestros,but some of those who are administrators or teachers
71, y estudiantes tambien,and students too
72, han sido poco entusiastas en cuanto a su direc- cion,have been unenthusiastic about their direction
73, enseñanza y aprendizaje. Veras,teaching and learning You will see
74, la mediocridades primeramente un rasgo personal,the mediocrities first a personal trait
75, una concesion personal de aceptar menos que lo mejor,a personal concession to accept less than the best
76, una resignacion letargica de un individuo que dice: Supongo que lo que apenas esta bien,a lethargic resignation of an individual that says: I guess what is just fine
77, esta bien. Pronto la mediocridad crea metastasis en todo el cuerpo,it's okay. Soon mediocrity creates metastasis throughout the body
78, poniendo a toda la nacion en riesgo,putting the whole nation at risk
79, pero siempre recuerda que la mediocridad empieza   conmigo    Las personas que no poseen sueños apremiantes corren el peligro de ver que sus vidas se les escapen de las manos. Sus dias pueden tornarse mundanos,but always remember that mediocrity starts with me People who do not have pressing dreams run the risk of seeing their lives get out of hand. Your days can become mundane
80, y luego ellos se tornan como sus dias. El autor Kenneth Hildebrand expresa el efecto negativo de semejante exis- tencia. Explica:  El hombre mas pauperrimo no es el que no tiene ni un centimo a su nombre. Es el que carece de un sueño... [Es como] una gran nave construida para el poderoso mar pero que intenta navegar en un charco. Carece de un puerto lejano que alcanzar,and then they become like their days. The author Kenneth Hildebrand expresses the negative effect of such an existence. Explain: The most pauperrimo man is not the one who does not have a centimo in his name. It is the one that lacks a dream ... [It is like] a great ship built for the powerful sea but that tries to sail in a puddle. It lacks a distant port to reach
81, de un horizonte  xiv  Introduccion  xv  que se perfile,of a horizon xiv Introduction xv that is outlined
82, de un cargamento preciado que llevar. Sus horas son absorbidas por tiranias rutinarias e insignificantes. En nada sor- prende que el tal se torne insatisfecho,of a precious cargo to carry. Their hours are absorbed by routine and insignificant tyrannies. It is not surprising that the man becomes dissatisfied
83, contencioso y este harto. Una de las tragedias mas grandes de la vida es la persona con una capacidad de diez por doce,contentious and this fed up. One of the greatest tragedies of life is the person with a capacity of ten by twelve
84, pero con un alma de dos por cuatro.  Si sientes que tu vida esta mas cerca del promedio de lo que te gustaria,but with a soul of two by four. If you feel that your life is closer to the average than you would like
85, necesitas soñar mas. Nada ayuda a sacar a alguien del fastidio como un sueño que valga la pena.  4. ALGUNOS CARECEN DE LA CONFIANZA NECESARIA  PARA SEGUIR SUS SUEÑOS  La humorista Erma Bombeck observo: Se necesita mucho valor para mostrarle tus sueños a otra persona. Hay que tener confianza para hablar de un sueño y aun mas para seguirlo. Algunas veces la confianza es lo que separa a los que sueñan y buscan sus sueños de los que no. En su investigacion en la Universidad de Wisconsin,You need to dream more. Nothing helps to get someone out of annoyance like a dream worthwhile. 4. SOME LACK OF THE TRUST NECESSARY TO FOLLOW THEIR DREAMS The humorist Erma Bombeck observed: It takes a lot of courage to show your dreams to another person. You have to have confidence to talk about a dream and even more to follow it. Sometimes trust is what separates those who dream and seek their dreams from those who do not. In his research at the University of Wisconsin
86, Karen Greno-Malsch descubrio que la confianza en si mismo es un ingrediente vital del exito. En un estudio de niños,Karen Greno-Malsch discovered that self-confidence is a vital ingredient of success. In a children's study
87, hallo que una autoestima baja se traducia en un treinta y siete por ciento menos de disposicion a negociar y a un once por ciento menos de uso de estrategias de negociacion con otros. Tambien descubrio que cuanto mayor era la autoestima de un niño,I found that low self-esteem translated into thirty-seven percent less willingness to negotiate and eleven percent less use of negotiating strategies with others. He also discovered that the greater the self-esteem of a child
88, tanto mayor la disposicion a correr los riesgos de tomar negociaciones prolongadas y mayor la capacidad de adaptacion. En otras palabras,the greater the willingness to take the risks of prolonged negotiations and the greater the capacity for adaptation. In other words
89, si tienes mas confianza en ti mismo,if you have more confidence in yourself
90, menos probable es que te des por vencido en el intento de obtener lo que deseas. 2   Cual es tu sueño?  Se necesita mucho valor para mostrarle tus sueños a otra persona.   ERMA BOMBECK  Los sueños son fragiles y corren su riesgo mas grande cuando son nuevos para ti,The less likely you are to give up trying to get what you want. 2 What is your dream? It takes a lot of courage to show your dreams to someone else. ERMA BOMBECK Dreams are fragile and they run their greatest risk when they are new to you
91, cuando las personas a las que amas y respetas no los aprueban,when the people you love and respect do not approve
92, y cuando careces de un historial de exitos pasados que te den confianza. Pero es necesario tener confianza basada en la realidad para luchar por tus sueños.  Como puedes ganar tal confianza? A traves de conocerte a ti mismo. La consultora de administracion Judith Bardwick afirma que la verdadera confianza proviene de conocerte y aceptarte a ti mismo,and when you lack a history of past successes that give you confidence. But you need to have confidence based on reality to fight for your dreams. How can you earn such confidence? Through knowing yourself. Management consultant Judith Bardwick says that true trust comes from knowing and accepting yourself
93, tus puntos fuertes y limitaciones,your strengths and limitations
94, en lugar de depender de la afirmacion de otros,instead of depending on the affirmation of others
95, del exterior. Esa es otra razon por la cual creo que la prueba del sueño puede ayudarte. Las respuestas positivas a las preguntas te daran mas confianza para que sigas tus sueños.  5. ALGUNOS CARECEN DE LA IMAGINACION  NECESARIA PARA SOÑAR   Como descubren las personas sus sueños? !-Soñando! Eso podra sonar exageradamente simplista,of the outside. That's another reason why I think the sleep test can help you. Positive answers to the questions will give you more confidence to follow your dreams. 5. SOME LACK OF THE IMAGINATION NECESSARY TO DREAM As people discover their dreams? !-Dreaming! That may sound exaggeratedly simplistic
96, pero alli es donde empieza. La imaginacion es el suelo que hace que los sueños cobren vida. El fisico laureado con el premio Nobel,but that's where it starts. The imagination is the ground that makes dreams come to life. The physicist awarded with the Nobel Prize
97, Alberto Einstein,Alberto Einstein
98, un soñador y pensador,a dreamer and thinker
99, comprendia el valor de la imaginacion. Dijo: Cuando me examino a mi mismo y mis metodos de pensar,understood the value of the imagination. He said: When I examine myself and my methods of thinking
100, llego a la conclu- sion de que el don de la fantasia ha significado mas para mi que mi  xvi  Introduccion  Una cosa que he observado acerca de los romanticos: Tratan de crear un mundo nuevo y mejor partiendo de lo ordinario de la vida cotidiana. Esa tambien es la meta de Starbucks. Tratamos de crear,I come to the conclusion that the gift of fantasy has meant more to me than my xvi Introduction One thing I have observed about romantics: They try to create a new and better world starting from the ordinary of everyday life. That is also the goal of Starbucks. We try to create
101, en nuestras tiendas,in our stores
102, un oasis,an oasis
103, un lugar en el vecindario en donde  xvii  talento de absorber conocimiento positivo. Einstein denomino a su imaginacion una curiosidad santa.  La imaginacion es el suelo que hace que los sueños cobren vida.  Si vienes de un fondo desalentador,a place in the neighborhood where xvii talent to absorb positive knowledge. Einstein called his imagination a holy curiosity. The imagination is the ground that makes dreams come to life. If you come from a discouraging background
104, o si no piensas que eres una persona particularmente imaginativa,or if you do not think that you are a particularly imaginative person
105, no pierdas las esperanzas. Todavia puedes descubrir tu sueño y desarrollarlo. Dios ha puesto esa capacidad en cada uno de nosotros. Si conoces y cuidas a niños,Do not lose hope. You can still discover your dream and develop it. God has placed that capacity in each one of us. If you know and care for children
106, entonces sabes que eso es cierto. Todos los niños sueñan,then you know that's true. All children dream
107, todos los niños poseen imaginacion. Mi esposa Margaret,all children have imagination. My wife Margaret
108, y yo tenemos cinco nietos y cuando estamos con ellos,
109, vemos sus imaginaciones vividas trabajar,we see their imaginations lived work
110, arrebatandolos de este mundo a uno de su propia creacion. Soñar esta en ti. Mi amigo,snatching them from this world to one of their own creation. Dreaming is in you. My friend
111, el autor Max Lucado,the author Max Lucado
112, describe tus posibilidades con claridad: No eres un accidente. No eres resultado de la produccion en masa. No eres producto de una linea de ensam- blaje. Fuiste planeado con deliberacion,describe your possibilities clearly: You are not an accident. You are not the result of mass production. You are not the product of an assembly line. You were planned deliberately
113, dotado de dones especificos y colocado amorosamente en la Tierra por el Maestro Artesano. Yendo mas alla,endowed with specific gifts and placed lovingly on Earth by the Master Craftsman. Going beyond
114, algunos afirmarian que cuanto mas humildes sean tus origenes,some would affirm that the more humble your origins are
115, tanto mayor tu potencial de soñar. El hombre de negocios Howard Schultz,The greater your potential to dream. The businessman Howard Schultz
116, que provino de un origen de muy escasos recursos,that came from a source of very scarce resources
117, utilizo la tierra fertil de su imaginacion para ayudarle a cultivar la idea de Starbucks,I use the fertile soil of your imagination to help you cultivate the Starbucks idea
118, la empresa que fundo. Schultz dijo:   Cual es cu sueño?  xviii  Introduccion  Creo que si realmente exploras cada pregunta,the company that I founded. Schultz said: What is your dream? xviii Introduction I think if you really explore each question
119, te examinas hones- tamente y respondes a todas afirmativamente,you examine yourself honestly and answer all affirmatively
120, las probabilidades de que logres tu sueño son muy buenas. A mayor cantidad de respuestas afirmativas que des,the chances of you achieving your dream are very good. The more affirmative answers you give
121, tanto mas estaras rumbo a cumplir tus sueños. Verdaderamente creo que todos tenemos el potencial de imaginar un sueño que vale la pena,the more you will be heading to fulfill your dreams. I truly believe that we all have the potential to imagine a dream worthwhile
122, y la mayoria tenemos la capacidad de lograrlo. Y no importa lo grande o aparentemente inverosimiles que parezcan ser tus sueños para los demas,and most of us have the capacity to achieve it. And no matter how big or apparently unlikely that your dreams seem to be for others
